"Slug","Title","Thumbnail","Thumbnail:alt","Type","Project Industry","Project Platform","Redirect Link","Featured Project?"
"consumer-oppurtunity-by-elevation-capital","Consumer Oppurtunity by Elevation Capital","assets/9E1cBjHewqQP1xm0gyjPAlsvOw.webp","","WEBFLOW, BRANDING, UI-UX","vc","website","https://consumeropportunity.elevationcapital.com/","No"
"default","Default","assets/Kk9bK6OKxYoKiMjdCn4nTbmHlQ.webp","","WEBFLOW, INTERACTIONS","saas","website","getdefault.in","No"
"docsumo","Docsumo","assets/hpGwpTi1xaZSmOP2tb8QhElf0rE.webp","Purple Flower","WEBFLOW, INTERACTIONS","saas","website","https://www.docsumo.com/","No"
"endiya","Endiya","assets/66N63cRzeyxY5Q85TmpFamHut4.webp","","WEBFLOW, INTERACTIONS","saas","website","endiya.com","No"
"gameon-by-polygon","Gameon by Polygon","assets/kNBhP6706RlfgUpQRtjDRWx7Fs.webp","","WEBFLOW, INTERACTIONS","saas","website","gameon.polygon.technology","No"
"houseware","Houseware","assets/2jb1ehgflFbn3uH62X69Eufuh8.webp","Orange Flower","WEBFLOW, UI-UX, INTERACTIONS","saas","website","https://www.houseware.io/","No"
"iisc-medical-school","IISC Medical School","assets/ymmv6sKDqEZ8ZR0uzch4UTdkl0.webp","","WEBFLOW, INTERACTIONS","healthcare","website","medicine.iisc.ac.in","No"
"itihasa","Itihasa","assets/01gjjECtgXzNoc0ArMs3qFo7q0.webp","","WEBFLOW, INTERACTIONS","saas","website","www.itihasa.co","No"
"jify","Jify","assets/MpFxabYOK6BkVvQd174n2mst0o.webp","","WEBFLOW, UX-UI, INTERACTIONS","saas","website","jify.co","No"
"jupiter","Jupiter","assets/XKX9o9P7V7fJGTgG0MbrxTT4.webp","Green Fern","WEBFLOW, AUTOMATIONS, VIRAL LOOPS","saas","website","https://jupiter.money/","No"
"letsventure","LetsVenture","assets/1JRjVXwVsSIArCaEV17iFbplns.webp","","WEBFLOW, BUBBLE.IO, BRANDING, UI-UX ","vc","website","letsventure.com","No"
"lightrock","Lightrock","assets/dU2x6dyJDxUJLbwVtTPnQ0K1bNg.webp","","WEBFLOW, BUBBLE.IO, BRANDING, UI-UX","vc","website","lightrock.com","No"
"matrix-partners","Matrix Partners","assets/XmjVViuVjPo3qchYaPGVfsTlA.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","matrixpartners.in","No"
"nektar","Nektar","assets/DOpWww6vwBYeE5dCc8sVBhJwL4.webp","","WEBFLOW, INTERACTIONS","saas","website","https://nektar.ai/","No"
"nova-benefits","Nova Benefits","assets/0pGuxY9DNSxKbq0gxU5mTJnm4.webp","Yellow Flower","WEBFLOW, UI-UX, INTERACTIONS","saas","website","https://www.novabenefits.com/","No"
"pesto","Pesto","assets/q0QsncBODsY1ws5oFpQMQIkT5OQ.webp","","WEBFLOW, INTERACTIONS","saas","website","https://pesto-tech.webflow.io/","No"
"polygon-blockparty","Polygon Blockparty","assets/4Q0WI8gZtEUpundg9AN5fbl7zQ.webp","","WEBFLOW, INTERACTIONS","saas","website","nycbp.webflow.io","No"
"polygon-ventures","Polygon Ventures","assets/AUh7Auvd857sEUCL4if9w7i9Y.webp","","WEBFLOW, INTERACTIONS","saas","website","www.p2v.ventures","No"
"scalix","Scalix","assets/PlS4X2ad0PSRsOYnF6eu4BCsFF0.webp","","WEBFLOW, BRANDING, UI-UX, SEO","vc","website","scalix.co","No"
"snaptrude","Snaptrude","assets/7e8SK9uOlfFZizo4HTnqNKLRSk.webp","","WEBFLOW, INTERACTIONS","saas","website","snaptrude.com","No"
"the-value-prop","The Value Prop","assets/hjykcRzgK5C6OsT3QNTom6f7AI.webp","","WEBFLOW, INTERACTIONS","saas","website","thevalueprop.io","No"
"theory-of-next-by-antler","Theory of Next by Antler","assets/dekC2joLwIEKsRGr4lT31BKnkUM.png","","WEBFLOW, BRANDING, UI-UX","vc","website","theoryofnext.com","No"
"wiztales","Wiztales","assets/ibgM6ASwj1DmmeYDQLxBDKANi5E.webp","Lilac Flower","WEBFLOW, UI-UX, INTERACTIONS","saas","website","https://www.wiztales.com/","No"
"xoxoday","Xoxoday","assets/Ckiuiss6GXX5p16gTXUj3inOS8.webp","","WEBFLOW, INTERACTIONS","saas","website","xoxoday.com","No"
"ownify","Ownify","assets/tJXUmYqv0fjAJmDEnGsQReFqI.png","","BUBBLE.IO, UI-UX, INTERACTIONS","other","app","https://ownify.com/","No"
"elyments","Elyments","assets/3nAJuBV0gxE9UWzvhFCmSNS53g.png","","WEBFLOW, UI-UX, INTERACTIONS","community-initiative","app","https://www.elyments.com/","No"
